tipo,dominio,fecha,notas
Organización social,propuestacivica.org.mx,2005-10-19,
Organización social,seiinac.org.mx,2011-05-18,
Organización social,elpoderdelconsumidor.org,2006-07-21,
Organización social,la72.org,2013-03-28,
Organización social,redh.org,2005-06-14,
Organización social,zeferinoladrillero.org ,2016-09-01,
Organización social,vocesmesoamericanas.org,2010-04-28,
Organización social,cdmch.org ,2014-08-10,
Organización social,prodesc.org.mx,2006-07-11,
medio,desinformemonos.org,2009-07-14,
Organización social,serapaz.org.mx ,2005-07-18,
Organización social,tequiojuridico.org,2011-01-04,
Organización social,cemda.org.mx ,1999-09-29,
Organización social,cedehm.org.mx ,2010-01-22,
medio,pozol.org ,2011-03-18,
Organización social,fundar.org.mx ,2000-01-12,
Organización social,gire.org.mx ,1998-09-15,
Organización social,articulo19.org,2009-07-06,
Organización social,tlachinollan.org ,2000-06-30,
Organización social,frayjuandelarios.mx ,2021-01-08,
Organización social,frayba.org.mx ,2001-11-30,
Organización social,centroprodh.org.mx ,2005-07-04,
Organización social,r3d.mx    ,2014-03-24,
medio,lacoperacha.org.mx,2011-11-29,
medio,poplab.mx  ,2018-10-25,
Organización social,sursiendo.com,2011-05-25,
Organización social,redtdt.org.mx ,1998-10-23,
Organización social,comitecerezo.org,2010-03-17,
medio,cimacnoticias.com.mx,2011-05-13,
Organización social,luchadoras.mx ,2017-05-28,
medio,rompeviento.tv  ,2011-02-17,
medio,raichali.com,2017-04-20,
medio,radiozapote.org ,2011-06-17,
medio,zonadocs.mx,2018-12-03,
medio,pagina3.mx,2011-09-26,
medio,chiapasparealelo.com,2013-06-19,
Cooperativa,kefir.red,2015-10-02,
medio,laquearde.org ,2014-07-26,
Colectivo,ranchoelectronico.org ,2013-05-15,
Colectivo,espora.org ,2003-04-14,
Colectivo,ezln.org.mx ,2005-11-11,
Cooperativa,mayfirst.org,2003-09-25,
Organización social,derechoshumanos.org.mx ,2003-03-24,
Organización social,periodistasdeapie.org.mx ,2010-03-17,
medio,piedepagina.mx ,2015-03-11,
medio,horizontal.mx  ,2012-11-11,
medio,aristeguinoticias.com ,2011-08-15,
medio,animalpolitico.com,2005-06-14,
medio,ladobe.com.mx,2011-05-03,
medio,quintoelab.org,2017-01-20,
Organización social,semillas.org.mx,2004-02-19,
medio,laverdadjuarez.com,2018-03-28,
medio,noroeste.com.mx,1995-05-31,
medio,trinchera-politicaycultura.com,2011-01-08,
medio,periodistasunidos.com.mx,2018-02-20,
Organización social,lacasamandarina.org,2013-05-27,
medio,homozapping.com.mx,2011-02-08,
medio,contralinea.com.mx,2001-12-03,
Organización social,pbi-mexico.org,2007-06-10,
Organización social,socialtic.org,2013-05-15,
Organización social,cofradia.org,2000-08-24,
Organización social,wikimedia.mx,2012-04-13,
Academia,lidsol.org,2004-07-21,
Organización social,unodesietemigrando.org.mx ,2019-04-15,
Organización social,alunapsicosocial.org,2017-01-20,
Organización social,asilegal.org.mx,2010-11-06,
Organización social,alianzasierramadre.org,2009-11-12,
Organización social,apoyoaltrabajador.org.mx,2014-05-12,
Organización social,catolicasmexico.org,2008-05-19,
Organización social,cecaddhi.org,2015-03-13,
Organización social,cdhfraymatias.org,2012-03-23,
Organización social,toaltepeyolo.org,2020-07-24,
Organización social,cdhvictoriadiez.com,2015-11-23,
Organización social,cdiflorycanto.org,2015-05-22,
Organización social,cediac.org,2009-06-14,
Organización social,centromontesinos.com,2020-01-30,
Organización social,cepad.org.mx,2007-02-01,
Organización social,cdmigrante.org,2004-10-13,
Organización social,cereal.mx,2019-03-27,
Organización social,proaci.org,2016-06-16,
Academia,iteso.mx,1996-10-30,
Colectivo,contralatortura.org,2004-07-09,
Colectivo,cepazdh.org,2012-07-31,
Organización social,cosyddhac.com,2015-09-07,
Organización social,codigodh.org,2010-12-15,
Organización social,comiteajusco.org,2018-07-04,
Organización social,codehuco.org.mx,2013-01-28,
Colectivo,hastaencontrarlos.org,2014-02-24,
Organización social,kwira.org,2003-12-18,
Organización social,elcaracol.org.mx,2008-04-16,
Organización social,fundacionjusticia.org,2013-08-16,
Organización social,indignacion.org.mx,2007-06-14,
Organización social,imdhd.org,2007-03-12,
Organización social,imdec.net,2001-07-12,
Organización social,projectpoder.org,2011-05-16,
Academia ,unam.mx,1989-03-31,
Academia,uam.mx,1995-01-02,
Academia,ipn.mx,1995-04-30,
Cooperativa,medioscomunes.com,2010-03-31,
Medio,masde131.com,2012-05-29,
Organización social,enjambre.net,2014-03-17,
Colectivo,lab-interconectividades.net,2015-06-15,
Colectivo,contingentemx.net,2010-09-01,
Colectivo,defenderinternet.org,2014-04-12,
Colectivo,internetparatodos.mx,2013-01-10,
Colectivo,vulvasapiens.net,2016-01-27,
Organización social,lasandiadigital.org.mx,2012-09-10,
Medio,riodoce.mx,2012-12-04,
Organización social,equis.org.mx,2012-05-15,
Medio,cantodecenzontles.org,2021-01-15,
Medio,tzamtrecesemillas.org,2021-04-23,
Colectivo,colmix.org,2017-10-29,
Colectivo,elotl.mx,2018-01-26,
Colectivo,palabraradio.org,2010-07-19,
Organización social,otrosmundoschiapas.org,2007-05-21,
Organización social,remamx.org,2011-04-17,
Medio,amapolaperiodismo.com,2019-02-17,
Medio,vozalterna.com,2019-01-01,dominio no renovado y en parking
Organización social,fm4pasolibre.org,2008-06-13,
Organización social,isoc.org.mx,1998-05-27,
Medio,telecapita.org,2012-04-08,
Medio,perimetral.press,2019-09-27,
Medio,lavoladora.org,2018-05-29,
Medio,kehuelga.net,2012-04-13,
Medio,adondevanlosdesaparecidos.org,2017-09-01,
